id,name,link,Average prices,Cuisine,Meals,Restaurant features,Good for,Open Hours,Address,Location,Phone Number
28,Quitapenas,/Restaurant_Review-g293940-d4551035-Reviews-Quitapenas-Phnom_Penh.html,,"Mediterranean, European, Spanish, Gluten Free Options","Lunch, Dinner, After-hours","Reservations, Seating, Waitstaff, Serves Alcohol, Full Bar, Free Wifi","Romantic, Special Occasion Dining, Business meetings, Child-friendly","Sunday
17:00 - 00:0011:00 - 14:00


Monday
17:00 - 00:00


Tuesday
17:00 - 00:00


Wednesday
17:00 - 00:00


Thursday
17:00 - 00:00


Friday
17:00 - 00:00


Saturday
17:00 - 00:0011:00 - 14:00","#14B Street 264 (next to corner of Street 19), Phnom Penh 0000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+(855)888 222 880
29,Chinese House,/Restaurant_Review-g293940-d1601770-Reviews-Chinese_House-Phnom_Penh.html,,"Asian, Contemporary, European","Drinks, Lunch, Dinner, After-hours","Seating, Waitstaff, Street Parking, Free Off-Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Free Wifi, Reservations, Parking Available","Romantic, Business meetings, Bar Scene, Groups, Special Occasion Dining","Sunday
11:00 - 00:00


Monday
17:00 - 01:00


Tuesday
17:00 - 01:00


Wednesday
17:00 - 01:00


Thursday
17:00 - 01:00


Friday
17:00 - 02:00


Saturday
11:00 - 00:00","45 Sisowath Quay (Cross Street 84), Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85592553330
30,"Anise Restaurant, Phnom Penh",/Restaurant_Review-g293940-d2284292-Reviews-Anise_Restaurant_Phnom_Penh-Phnom_Penh.html,"US$4 -
US$15","European, Asian, Cambodian, International","Breakfast, Lunch, Dinner, Brunch, After-hours","Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Full Bar, Free Wifi, Wheelchair Accessible",Child-friendly,"Sunday
06:00 - 23:00


Monday
06:00 - 23:00


Tuesday
06:00 - 23:00


Wednesday
06:00 - 23:00


Thursday
06:00 - 23:00


Friday
06:00 - 23:00


Saturday
06:00 - 23:00","N0 2C, St 278 off 57 Beoung Keng Kang 1 | Chamkamorn, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85523222522
31,Terrazza,/Restaurant_Review-g293940-d4356069-Reviews-Terrazza-Phnom_Penh.html,,"Italian, European, Mediterranean","Lunch, Drinks, Dinner, Brunch, After-hours","Outdoor Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Takeout, Reservations, Seating, Waitstaff, Wine and Beer, Accepts Mastercard, Accepts Visa, Delivery, Parking Available","Groups, Romantic, Business meetings, Child-friendly, Special Occasion Dining","Sunday
11:30 - 14:3017:30 - 22:30


Monday
11:30 - 14:3017:30 - 22:30


Tuesday
11:30 - 14:3017:30 - 22:30


Wednesday
11:30 - 14:3017:30 - 22:30


Thursday
11:30 - 14:3017:30 - 22:30


Friday
11:30 - 14:3017:30 - 22:30


Saturday
11:30 - 14:3017:30 - 22:30","Street 282, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+85523214660
32,Open Wine Restaurant,/Restaurant_Review-g293940-d2054950-Reviews-Open_Wine_Restaurant-Phnom_Penh.html,"US$7 -
US$50","French, European","Lunch, Dinner, After-hours","Parking Available, Valet Parking, Full Bar, Reservations, Seating, Waitstaff, Street Parking, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Outdoor Seating, Highchairs Available","Romantic, Business meetings, Special Occasion Dining","Sunday
11:00 - 22:00


Monday
11:00 - 22:00


Tuesday
11:00 - 22:00


Wednesday
11:00 - 22:00


Thursday
11:00 - 22:00


Friday
11:00 - 22:00


Saturday
11:00 - 22:00","19 219 Street | Behind the Royal Palace, Corner With Street 240, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 23 223 527
33,Eclipse Sky Bar,/Restaurant_Review-g293940-d4013483-Reviews-Eclipse_Sky_Bar-Phnom_Penh.html,"US$5 -
US$30","Bar, European, Asian","Dinner, After-hours, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Street Parking, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Parking Available, Highchairs Available","Groups, Special Occasion Dining, View, Bar Scene, Romantic","Sunday
17:00 - 02:00


Monday
17:00 - 02:00


Tuesday
17:00 - 02:00


Wednesday
17:00 - 02:00


Thursday
17:00 - 02:00


Friday
17:00 - 02:00


Saturday
17:00 - 02:00","Phnom Penh Tower, 23rd floor. Boulevard Monivong, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 23 964 171
34,Flavours of India,/Restaurant_Review-g293940-d1597237-Reviews-Flavours_of_India-Phnom_Penh.html,,"Indian, Asian","Breakfast, Lunch, Dinner, After-hours","Delivery, Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Free Wifi","Groups, Child-friendly, Cheap Eats","Sunday
09:30 - 23:00


Monday
09:30 - 23:00


Tuesday
09:30 - 23:00


Wednesday
09:30 - 23:00


Thursday
09:30 - 23:00


Friday
09:30 - 23:00


Saturday
09:30 - 23:00","158, St. 63 | Boeng Keng Kong I, Phnom Penh 23, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855-12-835907
35,La Croisette,/Restaurant_Review-g293940-d1595898-Reviews-La_Croisette-Phnom_Penh.html,"US$4 -
US$23","Italian, French, European, Asian, Cambodian, International","Brunch, Breakfast, Lunch, Dinner, After-hours, Drinks","Outdoor Seating, Seating, Waitstaff, Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Reservations","Child-friendly, View, Business meetings","Sunday
07:00 - 01:00


Monday
07:00 - 01:00


Tuesday
07:00 - 01:00


Wednesday
07:00 - 01:00


Thursday
07:00 - 01:00


Friday
07:00 - 01:00


Saturday
07:00 - 01:00","241 Sisowath Quay | Corner st.144, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",855 23 220 554
36,Bopha Phnom Penh - Titanic Restaurant,/Restaurant_Review-g293940-d1600174-Reviews-Bopha_Phnom_Penh_Titanic_Restaurant-Phnom_Penh.html,,"European, Asian, Thai, Cambodian","Breakfast, Lunch, Dinner, Brunch, After-hours","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Romantic, Local cuisine, Bar Scene, View, Business meetings, Child-friendly, Special Occasion Dining, Groups",,"Sisowath Quay | Riverside, Phnom Penh 855, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",(855) 023 42 72 09
37,La Provence,/Restaurant_Review-g293940-d8659984-Reviews-La_Provence-Phnom_Penh.html,"US$5 -
US$20","French, Bar, Pub, Gastropub","Lunch, Dinner, Drinks","Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Street Parking, Validated Parking, Free Off-Street Parking, Television, Wine and Beer, Free Wifi","Cheap Eats, Child-friendly, Bar Scene","Sunday
11:00 - 22:00


Monday
11:00 - 22:00


Tuesday
11:00 - 22:00


Wednesday
11:00 - 22:00


Thursday
11:00 - 22:00


Friday
11:00 - 22:00


Saturday
11:00 - 22:00","48 Street 118, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",8.5597E+11
38,Deco,/Restaurant_Review-g293940-d3314567-Reviews-Deco-Phnom_Penh.html,"US$10 -
US$40",European,"Lunch, Dinner, After-hours","Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Full Bar, Free Wifi, Wheelchair Accessible","Romantic, Special Occasion Dining, Groups, Child-friendly, Business meetings","Sunday
17:00 - 22:00


Monday
17:00 - 22:0012:00 - 14:00


Tuesday
17:00 - 22:0012:00 - 14:00


Wednesday
17:00 - 22:0012:00 - 14:00


Thursday
17:00 - 22:0012:00 - 14:00


Friday
17:00 - 22:0012:00 - 14:00


Saturday
17:00 - 22:0012:00 - 14:00","No.46 Street 352 | Corner of St 57 and 352, Phnom Penh BKK1, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85517577327
39,"Feliz Hostel, Cafe & Bar",/Restaurant_Review-g293940-d10533799-Reviews-Feliz_Hostel_Cafe_Bar-Phnom_Penh.html,"US$3 -
US$6",,"Breakfast, Lunch, Dinner","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Television, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi",,"Sunday
06:30 - 23:00


Monday
06:30 - 23:00


Tuesday
06:30 - 23:00


Wednesday
06:30 - 23:00


Thursday
06:30 - 23:00


Friday
06:30 - 23:00


Saturday
06:30 - 23:00","Z6, Street 51 | Opposite Patio Hotel, and next door to One Up Hotel, Phnom Penh 12302, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85517664495
